Country of Birth,Type of Attendance,,Gender,,,,TOTAL
Montenegro,22,15,14,23,,,37
Poland,569,620,449,740,,,"1,189"
Portugal,113,119,97,135,,,232
Romania,363,279,264,378,,,642
Russian Federation,844,615,512,947,,,"1,459"
Serbia,470,202,302,370,,,672
Serbia and Montenegro,153,134,109,178,,,287
Slovakia,86,79,60,105,,,165
Slovenia,47,32,34,45,,,79
"South Eastern Europe, nfd",53,23,36,40,,,76
Spain,132,150,108,174,,,282
Ukraine,385,286,258,413,,,671
countries with fewer than 20 students,18,16,18,16,,,34
North Africa and the Middle East,,,,,,,
Algeria,26,23,28,21,,,49
Bahrain,92,53,78,67,,,145
Egypt,800,619,812,607,,,"1,419"
Gaza Strip and West Bank,14,19,20,13,,,33
Iran,"2,167","1,467","1,743","1,891",,,"3,634"
Iraq,"2,000",787,"1,267","1,520",,,"2,787"
Israel,387,220,295,312,,,607
Jordan,299,144,253,190,,,443
Kuwait,279,180,246,213,,,459
Lebanon,787,647,668,766,,,"1,434"
Libya,43,35,50,28,,,78
Morocco,27,21,30,18,,,48
Oman,141,31,91,81,,,172
Qatar,55,15,42,28,,,70
Saudi Arabia,468,157,304,321,,,625
Sudan,"1,795",915,"1,812",898,,,"2,710"
Syria,156,102,132,126,,,258
Turkey,642,324,407,559,,,966
United Arab Emirates,432,144,284,292,,,576
Yemen,25,14,26,13,,,39
countries with fewer than 20 students,12,17,12,17,,,29
South-East Asia,,,,,,,
Brunei Darussalam,163,60,103,120,,,223
Burma (Myanmar),505,348,399,454,,,853
Cambodia,381,181,262,300,,,562
East Timor,107,68,77,98,,,175
Indonesia,"1,851",918,"1,308","1,461",,,"2,769"
Laos,37,42,37,42,,,79
Malaysia,"3,996","2,341","2,998","3,339",,,"6,337"
Philippines,"4,896","2,716","2,964","4,648",,,"7,612"
Singapore,"2,994","1,301","1,967","2,328",,,"4,295"
Thailand,"1,103",547,620,"1,030",,,"1,650"
Viet Nam,"2,047","1,595","1,655","1,987",,,"3,642"
countries with fewer than 20 students,< 5,< 5,< 5,0,,,< 5
North-East Asia,,,,,,,
China (excludes SARs and Taiwan Province),"10,080","5,060","7,008","8,132",,,"15,140"
"Chinese Asia (includes Mongolia), nfd",23,21,17,27,,,44
Hong Kong (SAR of China),"4,346","2,311","3,353","3,304",,,"6,657"
Japan,915,526,529,912,,,"1,441"
"Korea, Democratic People's Republic of (North)",27,34,25,36,,,61
"Korea, Republic of (South)","3,660","1,584","2,401","2,843",,,"5,244"
Macau (SAR of China),75,59,67,67,,,134
Mongolia,22,16,14,24,,,38
Taiwan,"1,801",735,"1,307","1,229",,,"2,536"
countries with fewer than 20 students,< 5,< 5,< 5,< 5,,,np
Southern and Central Asia,,,,,,,
Afghanistan,"1,653",586,"1,163","1,076",,,"2,239"
Armenia,37,24,26,35,,,61
Azerbaijan,20,18,12,26,,,38
Bangladesh,"1,245",976,"1,294",927,,,"2,221"
Bhutan,112,32,108,36,,,144
Georgia,16,16,16,16,,,32
India,"7,787","5,006","6,476","6,317",,,"12,793"
Kazakhstan,54,60,35,79,,,114
Kyrgyz Republic,23,15,11,27,,,38
Maldives,29,16,17,28,,,45
Nepal,841,491,666,666,,,"1,332"
Pakistan,"1,494",874,"1,319","1,049",,,"2,368"
Sri Lanka,"3,295","2,241","2,767","2,769",,,"5,536"
Uzbekistan,52,48,43,57,,,100
countries with fewer than 20 students,17,9,np,np,,,26
Americas,,,,,,,
Argentina,208,227,162,273,,,435
Bermuda,16,9,11,14,,,25
Bolivia,25,17,17,25,,,42
Brazil,402,416,337,481,,,818
Canada,"1,500","1,147","1,082","1,565",,,"2,647"
Chile,389,468,358,499,,,857
Colombia,346,335,330,351,,,681
Costa Rica,15,8,7,16,,,23
Cuba,19,11,14,16,,,30
Ecuador,38,42,41,39,,,80
El Salvador,229,239,206,262,,,468
Guatemala,18,12,15,15,,,30
Jamaica,28,22,18,32,,,50
Mexico,117,83,95,105,,,200
Nicaragua,23,20,22,21,,,43
Paraguay,8,13,9,12,,,21
Peru,242,267,216,293,,,509
Trinidad and Tobago,26,34,23,37,,,60
United States of America,"3,225","1,867","2,270","2,822",,,"5,092"
Uruguay,70,117,51,136,,,187
Venezuela,117,109,104,122,,,226
countries with fewer than 20 students,72,68,61,79,,,140
Sub-Saharan Africa,,,,,,,
Angola,11,9,9,11,,,20
Botswana,94,48,68,74,,,142
Burundi,125,46,115,56,,,171
Cameroon,27,16,31,12,,,43
Congo,69,23,58,34,,,92
"Congo, Democratic Republic of",269,73,224,118,,,342
Côte d'Ivoire,np,< 5,14,9,,,23
Eritrea,98,65,98,65,,,163
Ethiopia,383,240,333,290,,,623
Ghana,231,179,195,215,,,410
Guinea,18,9,13,14,,,27
Kenya,732,380,476,636,,,"1,112"
Liberia,205,103,191,117,,,308
Malawi,38,28,35,31,,,66
Mauritius,408,298,341,365,,,706
Mozambique,15,20,16,19,,,35
Namibia,56,34,46,44,,,90
Nigeria,412,321,361,372,,,733
Rwanda,88,22,58,52,,,110
Seychelles,48,34,39,43,,,82
Sierra Leone,291,158,234,215,,,449
Somalia,415,203,332,286,,,618
South Africa,"7,246","3,804","4,907","6,143",,,"11,050"
"Southern and East Africa, nec",56,62,48,70,,,118
Swaziland,16,12,11,17,,,28
Tanzania,65,74,71,68,,,139
Togo,np,< 5,14,7,,,21
Uganda,142,82,108,116,,,224
Zambia,172,172,136,208,,,344
Zimbabwe,"2,012","1,390","1,533","1,869",,,"3,402"
countries with fewer than 20 students,69,64,79,54,,,133
No Information,,,,,,,
Overseas Country not known,673,461,685,449,,,"1,134"
No Information,"4,508","2,529","3,480","3,557",,,"7,037"
,,,,,,,
TOTAL,"652,567","332,807","415,189","570,185",,,"985,374"
Total 2012,"616,521","317,589","392,257","541,853",,,"934,110"
% change on 2012,5.80%,4.80%,5.80%,5.20%,,,5.50%
Country of Birth,Type of Attendance,,Gender,,,,TOTAL
,Full-time,Part-time,Males,Females(a),,,
Australia,,,,,,,
Australia,"540,847","258,720","329,891","469,676",,,"799,567"
Oceania and Antarctica,,,,,,,
Australian Antartic Territory,44,45,31,58,,,89
British Antartic Territory,20,8,14,14,,,28
Cook Islands,47,29,30,46,,,76
Fiji,"1,653","1,384","1,224","1,813",,,"3,037"
French Polynesia,19,5,11,13,,,24
Nauru,14,12,6,20,,,26
New Caledonia,48,21,26,43,,,69
New Zealand,"9,961","7,036","6,860","10,137",,,"16,997"
Papua New Guinea,651,631,496,786,,,"1,282"
Samoa,159,115,102,172,,,274
Solomon Islands,54,42,34,62,,,96
Tonga,109,110,83,136,,,219
Vanuatu,26,21,24,23,,,47
countries with fewer than 20 students,66,36,50,52,,,102
North-West Europe,,,,,,,
Austria,192,151,132,211,,,343
Belgium,151,95,103,143,,,246
Channel Islands,15,14,15,14,,,29
Denmark,150,111,95,166,,,261
England,"9,860","6,673","6,826","9,707",,,"16,533"
Finland,94,102,52,144,,,196
France,620,385,430,575,,,"1,005"
Germany,"1,636","1,212","1,091","1,757",,,"2,848"
Iceland,16,19,8,27,,,35
Ireland,804,"1,104",752,"1,156",,,"1,908"
Isle of Man,23,10,19,14,,,33
Jersey,17,6,9,14,,,23
Netherlands,563,501,444,620,,,"1,064"
Northern Ireland,171,169,129,211,,,340
Norway,125,65,73,117,,,190
Scotland,"1,159",903,873,"1,189",,,"2,062"
Sweden,313,175,185,303,,,488
Switzerland,396,243,248,391,,,639
"United Kingdom, nfd","4,332","4,866","3,866","5,332",,,"9,198"
Wales,389,421,315,495,,,810
countries with fewer than 20 students,21,17,11,27,,,38
Southern and Eastern Europe,,,,,,,
Albania,74,26,39,61,,,100
Belarus,52,41,39,54,,,93
Bosnia and Herzegovina,933,498,600,831,,,"1,431"
Bulgaria,89,86,66,109,,,175
Croatia,537,375,338,574,,,912
Cyprus,93,88,68,113,,,181
Czech Republic,107,128,68,167,,,235
Estonia,20,11,8,23,,,31
Former Yugoslav Republic of Macedonia,355,235,244,346,,,590
"Former Yugoslavia, nfd",30,29,31,28,,,59
Greece,431,268,303,396,,,699
Hungary,176,150,143,183,,,326
Italy,517,463,459,521,,,980
Kosovo,27,9,22,14,,,36
Latvia,37,32,16,53,,,69
Lithuania,26,23,15,34,,,49
Malta,75,85,65,95,,,160
Moldova,38,28,27,39,,,66
Montenegro,18,15,13,20,,,33
Poland,521,621,436,706,,,"1,142"
Portugal,111,113,104,120,,,224
Romania,372,279,263,388,,,651
Russian Federation,880,610,514,976,,,"1,490"
Serbia,495,208,289,414,,,703
Serbia and Montenegro,120,103,78,145,,,223
Slovakia,89,83,52,120,,,172
Slovenia,39,31,34,36,,,70
"South Eastern Europe, nfd",67,24,45,46,,,91
Spain,142,163,119,186,,,305
Ukraine,360,259,235,384,,,619
countries with fewer than 20 students,16,9,10,15,,,25
North Africa and the Middle East,,,,,,,
Algeria,20,27,25,22,,,47
Bahrain,112,57,85,84,,,169
Egypt,874,584,814,644,,,"1,458"
Gaza Strip and West Bank,24,10,20,14,,,34
Iran,"2,451","1,523","1,865","2,109",,,"3,974"
Iraq,"2,117",881,"1,370","1,628",,,"2,998"
Israel,389,221,294,316,,,610
Jordan,313,146,266,193,,,459
Kuwait,287,182,242,227,,,469
Lebanon,876,644,701,819,,,"1,520"
Libya,57,46,62,41,,,103
Morocco,21,29,29,21,,,50
Oman,143,43,92,94,,,186
Qatar,63,12,46,29,,,75
Saudi Arabia,544,162,335,371,,,706
South Sudan,435,210,502,143,,,645
Sudan,"1,648",946,"1,640",954,,,"2,594"
Syria,173,128,159,142,,,301
Turkey,631,347,413,565,,,978
United Arab Emirates,526,146,334,338,,,672
Yemen,32,18,29,21,,,50
countries with fewer than 20 students,15,14,12,17,,,29
South-East Asia,,,,,,,
Brunei Darussalam,154,68,97,125,,,222
Burma (Myanmar),534,387,428,493,,,921
Cambodia,414,187,281,320,,,601
East Timor,90,69,67,92,,,159
Indonesia,"1,964",888,"1,371","1,481",,,"2,852"
Laos,42,44,38,48,,,86
Malaysia,"4,255","2,310","3,115","3,450",,,"6,565"
Philippines,"5,301","2,878","3,144","5,035",,,"8,179"
Singapore,"3,170","1,299","2,025","2,444",,,"4,469"
Thailand,"1,213",542,620,"1,135",,,"1,755"
Viet Nam,"2,200","1,495","1,662","2,033",,,"3,695"
countries with fewer than 20 students,< 5,0,< 5,0,,,< 5
North-East Asia,,,,,,,
China (excludes SARs and Taiwan Province),"10,897","4,950","7,152","8,695",,,"15,847"
"Chinese Asia (includes Mongolia), nfd",33,10,16,27,,,43
Hong Kong (SAR of China),"4,158","2,171","3,212","3,117",,,"6,329"
Japan,972,489,545,916,,,"1,461"
"Korea, Democratic People's Republic of (North)",25,28,26,27,,,53
"Korea, Republic of (South)","3,937","1,630","2,564","3,003",,,"5,567"
Macau (SAR of China),84,48,65,67,,,132
Mongolia,29,19,18,30,,,48
Taiwan,"1,674",653,"1,182","1,145",,,"2,327"
countries with fewer than 20 students,< 5,< 5,< 5,< 5,,,< 5
Southern and Central Asia,,,,,,,
Afghanistan,"1,870",716,"1,356","1,230",,,"2,586"
Armenia,29,25,21,33,,,54
Azerbaijan,23,19,16,26,,,42
Bangladesh,"1,346",992,"1,303","1,035",,,"2,338"
Bhutan,121,39,120,40,,,160
Georgia,15,11,12,14,,,26
India,"8,649","5,530","7,050","7,129",,,"14,179"
Kazakhstan,61,44,35,70,,,105
Kyrgyz Republic,26,9,11,24,,,35
Maldives,24,17,19,22,,,41
Nepal,"1,231",658,914,975,,,"1,889"
Pakistan,"1,792",916,"1,524","1,184",,,"2,708"
Sri Lanka,"3,397","2,166","2,757","2,806",,,"5,563"
Uzbekistan,59,43,45,57,,,102
countries with fewer than 20 students,12,10,7,15,,,22
Americas,,,,,,,
Argentina,211,211,161,261,,,422
Bermuda,20,8,12,16,,,28
Bolivia,27,22,20,29,,,49
Brazil,448,414,362,500,,,862
Canada,"1,603","1,213","1,125","1,691",,,"2,816"
Chile,392,458,338,512,,,850
Colombia,412,358,362,408,,,770
Costa Rica,16,9,9,16,,,25
Cuba,25,8,17,16,,,33
Ecuador,41,40,39,42,,,81
El Salvador,222,231,195,258,,,453
Guatemala,20,13,16,17,,,33
Jamaica,26,26,24,28,,,52
Mexico,138,94,108,124,,,232
Nicaragua,25,16,25,16,,,41
Paraguay,10,13,9,14,,,23
Peru,272,255,241,286,,,527
Trinidad and Tobago,32,35,30,37,,,67
United States of America,"3,371","1,930","2,389","2,912",,,"5,301"
Uruguay,75,121,63,133,,,196
Venezuela,104,116,101,119,,,220
countries with fewer than 20 students,82,66,61,87,,,148
Sub-Saharan Africa,,,,,,,
Angola,14,13,12,15,,,27
Botswana,99,60,81,78,,,159
Burundi,144,43,124,63,,,187
Cameroon,34,20,31,23,,,54
"Central and West Africa, nfd",7,21,18,10,,,28
Congo,84,31,60,55,,,115
"Congo, Democratic Republic of",289,95,227,157,,,384
Côte d'Ivoire,20,6,12,14,,,26
Eritrea,118,55,101,72,,,173
Ethiopia,449,229,355,323,,,678
Ghana,246,171,193,224,,,417
Guinea,35,8,18,25,,,43
Kenya,822,439,530,731,,,"1,261"
Liberia,194,131,185,140,,,325
Malawi,31,28,32,27,,,59
Mauritius,441,355,387,409,,,796
Mozambique,20,19,17,22,,,39
Namibia,44,47,45,46,,,91
Nigeria,476,356,401,431,,,832
Rwanda,90,36,60,66,,,126
Seychelles,52,31,34,49,,,83
Sierra Leone,307,168,235,240,,,475
Somalia,415,209,330,294,,,624
South Africa,"7,822","4,055","5,276","6,601",,,"11,877"
"Southern and East Africa, nec",71,56,55,72,,,127
Swaziland,16,12,10,18,,,28
Tanzania,78,68,73,73,,,146
Togo,np,< 5,np,np,,,23
Uganda,167,95,123,139,,,262
Zambia,176,201,149,228,,,377
Zimbabwe,"2,168","1,530","1,620","2,078",,,"3,698"
countries with fewer than 20 students,66,45,65,46,,,111
No Information,,,,,,,
Overseas Country not known,365,171,265,271,,,536
No Information,"3,966","2,834","3,386","3,414",,,"6,800"
,,,,,,,
TOTAL,"680,084","345,586","431,687","593,983",,,"1,025,670"
Total 2013,"652,567","332,807","415,189","570,185",,,"985,374"
% change on 2013,4.20%,3.80%,4.00%,4.20%,,,4.10%
Country of Birth,Type of Attendance,,Gender,,,,TOTAL
,Full-time,Part-time,Males,Females(a),,,
Australia,,,,,,,
Australia,"549,691","266,605","337,229","479,067",,,"816,296"
"Australian External Territories, nec",20,15,16,19,,,35
countries with fewer than 20 students,6,4,4,6,,,10
Oceania and Antarctica,,,,,,,
Australian Antartic Territory,39,45,34,50,,,84
British Antartic Territory,10,11,10,11,,,21
Cook Islands,47,24,28,43,,,71
Fiji,"1,727","1,326","1,251","1,802",,,"3,053"
French Polynesia,15,7,11,11,,,22
Nauru,22,7,8,21,,,29
New Caledonia,56,19,34,41,,,75
New Zealand,"10,312","7,089","7,044","10,357",,,"17,401"
Papua New Guinea,686,682,517,851,,,"1,368"
Samoa,161,126,105,182,,,287
Solomon Islands,60,41,39,62,,,101
Tonga,112,117,92,137,,,229
Vanuatu,25,21,19,27,,,46
countries with fewer than 20 students,58,48,46,60,,,106
North-West Europe,,,,,,,
Austria,185,146,126,205,,,331
Belgium,170,95,111,154,,,265
Channel Islands,11,10,13,8,,,21
Denmark,153,112,95,170,,,265
England,"10,340","6,764","7,122","9,982",,,"17,104"
Finland,96,102,50,148,,,198
France,649,411,462,598,,,"1,060"
Germany,"1,677","1,082","1,065","1,694",,,"2,759"
Iceland,22,18,9,31,,,40
Ireland,844,"1,112",776,"1,180",,,"1,956"
Isle of Man,24,6,18,12,,,30
Jersey,24,8,13,19,,,32
Netherlands,565,490,417,638,,,"1,055"
Northern Ireland,174,178,133,219,,,352
Norway,108,63,61,110,,,171
Scotland,"1,157",915,845,"1,227",,,"2,072"
Sweden,278,170,165,283,,,448
Switzerland,387,212,241,358,,,599
"United Kingdom, nfd","4,380","4,663","3,757","5,286",,,"9,043"
Wales,394,470,351,513,,,864
countries with fewer than 20 students,29,16,18,27,,,45
Southern and Eastern Europe,,,,,,,
Albania,79,30,46,63,,,109
Belarus,48,40,42,46,,,88
Bosnia and Herzegovina,743,509,532,720,,,"1,252"
Bulgaria,103,82,72,113,,,185
Croatia,482,356,314,524,,,838
Cyprus,95,88,68,115,,,183
Czech Republic,108,121,62,167,,,229
Estonia,33,9,11,31,,,42
Former Yugoslav Republic of Macedonia,314,212,238,288,,,526
Former Yugoslavia not further defined,16,30,27,19,,,46
Greece,478,271,342,407,,,749
Hungary,171,149,143,177,,,320
Italy,554,460,467,547,,,"1,014"
Kosovo,39,8,26,21,,,47
Latvia,39,33,17,55,,,72
Lithuania,24,17,11,30,,,41
Malta,73,85,64,94,,,158
Moldova,29,27,20,36,,,56
Montenegro,22,13,13,22,,,35
Poland,525,567,397,695,,,"1,092"
Portugal,108,112,113,107,,,220
Romania,335,284,243,376,,,619
Russian Federation,819,608,499,928,,,"1,427"
Serbia,544,226,318,452,,,770
Serbia and Montenegro,90,81,64,107,,,171
Slovakia,92,83,54,121,,,175
Slovenia,38,24,30,32,,,62
"South Eastern Europe, nfd",55,37,43,49,,,92
Spain,157,142,126,173,,,299
Ukraine,355,278,237,396,,,633
countries with fewer than 20 students,12,12,10,14,,,24
North Africa and the Middle East,,,,,,,
Algeria,26,23,26,23,,,49
Bahrain,110,52,86,76,,,162
Egypt,903,602,860,645,,,"1,505"
Gaza Strip and West Bank,19,12,19,12,,,31
Iran,"2,671","1,561","1,970","2,262",,,"4,232"
Iraq,"2,196",941,"1,382","1,755",,,"3,137"
Israel,389,211,271,329,,,600
Jordan,324,155,273,206,,,479
Kuwait,304,164,249,219,,,468
Lebanon,869,656,710,815,,,"1,525"
Libya,70,53,73,50,,,123
Morocco,26,32,30,28,,,58
Oman,150,36,92,94,,,186
Qatar,56,21,48,29,,,77
Saudi Arabia,568,211,372,407,,,779
South Sudan,553,295,616,232,,,848
Sudan,"1,499",948,"1,486",961,,,"2,447"
Syria,212,117,165,164,,,329
Turkey,631,359,421,569,,,990
United Arab Emirates,574,184,386,372,,,758
Yemen,43,14,35,22,,,57
countries with fewer than 20 students,18,15,13,20,,,33
South-East Asia,,,,,,,
Brunei Darussalam,158,64,107,115,,,222
Burma (Myanmar),576,368,437,507,,,944
Cambodia,392,198,281,309,,,590
East Timor,77,69,57,89,,,146
Indonesia,"1,838",873,"1,296","1,415",,,"2,711"
Laos,37,51,32,56,,,88
Malaysia,"4,322","2,294","3,085","3,531",,,"6,616"
Philippines,"5,835","3,003","3,508","5,330",,,"8,838"
Singapore,"3,196","1,309","2,061","2,444",,,"4,505"
Thailand,"1,260",570,635,"1,195",,,"1,830"
Viet Nam,"2,208","1,401","1,629","1,980",,,"3,609"
countries with fewer than 20 students,< 5,0,< 5,0,,,< 5
North-East Asia,,,,,,,
China (excludes SARs and Taiwan Province),"11,120","5,029","7,304","8,845",,,"16,149"
"Chinese Asia (includes Mongolia), nfd",23,12,11,24,,,35
Hong Kong (SAR of China),"3,955","2,130","3,054","3,031",,,"6,085"
Japan,970,500,528,942,,,"1,470"
"Korea, Democratic People's Republic of (North)",27,23,22,28,,,50
"Korea, Republic of (South)","3,987","1,703","2,584","3,106",,,"5,690"
Macau (SAR of China),67,64,73,58,,,131
Mongolia,36,17,19,34,,,53
Taiwan,"1,505",652,"1,089","1,068",,,"2,157"
countries with fewer than 20 students,< 5,0,< 5,0,,,< 5
Southern and Central Asia,,,,,,,
Afghanistan,"2,081",740,"1,468","1,353",,,"2,821"
Armenia,20,23,18,25,,,43
Azerbaijan,19,22,17,24,,,41
Bangladesh,"1,414",995,"1,308","1,101",,,"2,409"
Bhutan,103,34,95,42,,,137
Georgia,13,11,15,9,,,24
India,"9,426","5,821","7,498","7,749",,,"15,247"
Kazakhstan,74,37,38,73,,,111
Kyrgyz Republic,29,16,12,33,,,45
Maldives,25,24,20,29,,,49
Nepal,"1,507",736,"1,063","1,180",,,"2,243"
Pakistan,"1,959","1,016","1,655","1,320",,,"2,975"
Sri Lanka,"3,439","2,235","2,754","2,920",,,"5,674"
Uzbekistan,69,40,47,62,,,109
countries with fewer than 20 students,np,np,np,np,,,np
Americas,,,,,,,
Argentina,215,208,159,264,,,423
Bermuda,19,11,14,16,,,30
Bolivia,35,16,25,26,,,51
Brazil,457,465,383,539,,,922
Canada,"1,611","1,248","1,114","1,745",,,"2,859"
Chile,413,417,328,502,,,830
Colombia,455,383,395,443,,,838
Costa Rica,16,13,13,16,,,29
Cuba,22,13,18,17,,,35
Ecuador,39,31,37,33,,,70
El Salvador,200,211,181,230,,,411
Guatemala,16,15,14,17,,,31
Guyana,6,14,8,12,,,20
Jamaica,35,26,27,34,,,61
Mexico,140,115,125,130,,,255
Nicaragua,17,14,17,14,,,31
Paraguay,11,12,8,15,,,23
Peru,297,259,248,308,,,556
Trinidad and Tobago,32,32,23,41,,,64
United States of America,"3,457","1,910","2,439","2,928",,,"5,367"
Uruguay,70,105,52,123,,,175
Venezuela,141,110,112,139,,,251
countries with fewer than 20 students,69,55,52,72,,,124
Sub-Saharan Africa,,,,,,,
Angola,7,13,7,13,,,20
Botswana,109,49,80,78,,,158
Burundi,134,51,113,72,,,185
Cameroon,32,20,26,26,,,52
Congo,92,34,59,67,,,126
"Congo, Democratic Republic of",347,122,273,196,,,469
Côte d'Ivoire,23,9,15,17,,,32
Eritrea,123,66,95,94,,,189
Ethiopia,476,229,362,343,,,705
Ghana,267,195,210,252,,,462
Guinea,51,10,24,37,,,61
Kenya,897,463,568,792,,,"1,360"
Liberia,206,121,184,143,,,327
Malawi,36,26,26,36,,,62
Mauritius,462,373,393,442,,,835
Mozambique,22,17,14,25,,,39
Namibia,54,37,45,46,,,91
Nigeria,520,387,460,447,,,907
Rwanda,87,33,62,58,,,120
Seychelles,50,27,30,47,,,77
Sierra Leone,342,171,251,262,,,513
Somalia,415,217,327,305,,,632
South Africa,"8,056","4,247","5,493","6,810",,,"12,303"
"Southern and East Africa, nec",70,45,46,69,,,115
Swaziland,13,12,8,17,,,25
Tanzania,111,69,86,94,,,180
Uganda,190,100,136,154,,,290
Zambia,193,212,161,244,,,405
Zimbabwe,"2,258","1,634","1,739","2,153",,,"3,892"
countries with fewer than 20 students,88,69,83,74,,,157
No Information,,,,,,,
Overseas Country not known,292,365,352,305,,,657
No Information,"3,099","2,571","2,839","2,831",,,"5,670"
,,,,,,,
TOTAL,"692,180","354,655","440,756","606,079",,,"1,046,835"
Total 2014,"680,084","345,586","431,687","593,983",,,"1,025,670"
% change on 2014,1.80%,2.60%,2.10%,2.00%,,,2.10%
Country of Birth,Type of Attendance,,Gender,,,,TOTAL
,Full-time,Part-time,Males,Females(a),,,
Australia,,,,,,,
Australia,"556,710","274,025","342,854","487,881",,,"830,735"
Norfolk Island and Australian External Territo,20,26,16,30,,,46
Oceania and Antarctica,,,,,,,
Adélie Land (France),51,10,21,40,,,61
Australian Antartic Territory,35,26,23,38,,,61
Cook Islands,46,25,29,42,,,71
Fiji,"1,588","1,346","1,176","1,758",,,"2,934"
French Polynesia,16,9,13,12,,,25
Nauru,17,16,9,24,,,33
New Caledonia,47,22,31,38,,,69
New Zealand,"10,866","7,095","7,243","10,718",,,"17,961"
Papua New Guinea,699,669,504,864,,,"1,368"
Samoa,171,135,110,196,,,306
Solomon Islands,67,42,41,68,,,109
Tonga,107,98,77,128,,,205
Vanuatu,30,22,23,29,,,52
Countries with fewer than 20 students,52,46,42,56,,,98
North-West Europe,,,,,,,
Austria,167,144,124,187,,,311
Belgium,157,101,108,150,,,258
Channel Islands,10,49,23,36,,,59
Denmark,152,97,86,163,,,249
England,"10,794","6,919","7,326","10,387",,,"17,713"
Finland,92,102,41,153,,,194
France,619,424,441,602,,,"1,043"
Germany,"1,625","1,096","1,030","1,691",,,"2,721"
Iceland,26,14,10,30,,,40
Ireland,902,"1,166",811,"1,257",,,"2,068"
Isle of Man,20,13,19,14,,,33
Jersey,29,9,14,24,,,38
Netherlands,564,472,427,609,,,"1,036"
Northern Ireland,190,190,143,237,,,380
Norway,96,73,59,110,,,169
Scotland,"1,148",916,855,"1,209",,,"2,064"
Sweden,279,176,163,292,,,455
Switzerland,373,215,233,355,,,588
"United Kingdom, nfd","4,403","4,582","3,793","5,192",,,"8,985"
Wales,422,471,347,546,,,893
Countries with fewer than 20 students,31,13,17,27,,,44
Southern and Eastern Europe,,,,,,,
Albania,80,31,39,72,,,111
Belarus,41,44,37,48,,,85
Bosnia and Herzegovina,670,478,468,680,,,"1,148"
Bulgaria,95,64,57,102,,,159
Croatia,419,315,287,447,,,734
Cyprus,106,79,72,113,,,185
Czech Republic,98,121,72,147,,,219
Estonia,22,17,10,29,,,39
Former Yugoslav Republic of Macedonia (FYROM),320,225,230,315,,,545
Former Yugoslavia not further defined,11,26,22,15,,,37
Greece,500,274,349,425,,,774
Hungary,177,171,153,195,,,348
Italy,555,471,484,542,,,"1,026"
Kosovo,56,12,33,35,,,68
Latvia,23,26,12,37,,,49
Lithuania,32,23,14,41,,,55
Malta,78,77,61,94,,,155
Moldova,24,26,18,32,,,50
Montenegro,20,15,13,22,,,35
Poland,510,543,388,665,,,"1,053"
Portugal,95,128,100,123,,,223
Romania,318,279,226,371,,,597
Russian Federation,805,592,494,903,,,"1,397"
Serbia,580,242,323,499,,,822
Serbia and Montenegro,59,75,50,84,,,134
Slovakia,80,83,51,112,,,163
